COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
CCS,N,0.0,COLD STORES,2021-01-04,707.5,700.0,705.0,705.0,11,608.0,428819.5
CCS,N,0.0,COLD STORES,2021-01-05,707.5,705.0,705.9,705.9,8,1291.0,911223.2
CCS,N,0.0,COLD STORES,2021-01-06,707.5,701.0,706.7,706.7,22,1132.0,797533.4
CCS,N,0.0,COLD STORES,2021-01-07,707.5,701.5,706.9,706.9,25,2806.0,1983998.0
CCS,N,0.0,COLD STORES,2021-01-08,707.5,700.0,701.0,701.0,13,140.0,98199.5
CCS,N,0.0,COLD STORES,2021-01-11,707.5,695.0,699.0,699.0,16,173.0,120949.25
CCS,N,0.0,COLD STORES,2021-01-12,704.0,690.0,697.25,697.25,34,15711.0,10997229.0
CCS,N,0.0,COLD STORES,2021-01-13,703.0,685.0,699.75,699.75,21,9437.0,6602934.25
CCS,N,0.0,COLD STORES,2021-01-15,705.0,691.0,695.5,695.5,24,8371.0,5807883.5
CCS,N,0.0,COLD STORES,2021-01-18,717.0,705.0,710.5,710.5,24,1130.0,802310.5
CCS,N,0.0,COLD STORES,2021-01-19,710.25,700.0,709.0,709.0,27,2941.0,2078859.5
CCS,N,0.0,COLD STORES,2021-01-20,717.75,705.0,710.0,710.0,19,2380.0,1690699.75
CCS,N,0.0,COLD STORES,2021-01-21,730.0,710.0,726.25,726.25,43,41321.0,29719971.25
CCS,N,0.0,COLD STORES,2021-01-22,730.0,722.0,726.75,726.75,65,25286.0,18349455.5
CCS,N,0.0,COLD STORES,2021-01-25,730.0,720.0,725.0,725.0,33,53467.0,38769746.25
CCS,N,0.0,COLD STORES,2021-01-26,725.0,710.0,710.0,710.0,37,5389.0,3889564.25
CCS,N,0.0,COLD STORES,2021-01-27,724.5,710.0,710.5,710.5,18,10658.0,7573588.5
CCS,N,0.0,COLD STORES,2021-01-29,711.5,709.5,709.75,709.75,21,2245.0,1594439.75
CCS,N,0.0,COLD STORES,2021-02-01,714.0,700.0,706.0,706.0,21,6812.0,4821224.25
CCS,N,0.0,COLD STORES,2021-02-02,710.0,665.0,685.75,685.75,32,5315.0,3687272.75
CCS,N,0.0,COLD STORES,2021-02-03,705.0,675.0,689.5,689.5,19,5636.0,3887931.25
CCS,N,0.0,COLD STORES,2021-02-05,700.0,690.0,695.0,695.0,46,14913.0,10367943.0
CCS,N,0.0,COLD STORES,2021-02-08,700.0,696.25,699.75,699.75,17,2671.0,1868996.0
CCS,N,0.0,COLD STORES,2021-02-09,700.0,682.25,689.0,689.0,20,12148.0,8401036.0
CCS,N,0.0,COLD STORES,2021-02-10,690.0,670.0,674.75,674.75,48,8843.0,6072418.0
CCS,N,0.0,COLD STORES,2021-02-11,671.0,658.5,664.0,664.0,70,78943.0,52571757.0
CCS,N,0.0,COLD STORES,2021-02-12,669.0,654.25,660.25,660.25,73,7443.0,4937343.75
CCS,N,0.0,COLD STORES,2021-02-15,665.0,650.0,664.5,664.5,46,82311.0,54718744.0
CCS,N,0.0,COLD STORES,2021-02-16,664.5,652.0,663.75,663.75,7,639.0,424169.25
CCS,N,0.0,COLD STORES,2021-02-17,663.0,663.0,663.75,663.75,5,86.0,57018.0
CCS,N,0.0,COLD STORES,2021-02-18,665.0,660.0,662.5,662.5,22,481.0,318940.75
CCS,N,0.0,COLD STORES,2021-02-19,660.25,660.0,662.5,662.5,5,68.0,44880.25
CCS,N,0.0,COLD STORES,2021-02-22,657.0,653.0,662.5,662.5,2,40.0,26200.0
CCS,N,0.0,COLD STORES,2021-02-23,652.0,638.75,639.5,639.5,46,1755.0,1124445.0
CCS,N,0.0,COLD STORES,2021-02-24,650.0,639.5,640.25,640.25,15,1185.0,758506.0
CCS,N,0.0,COLD STORES,2021-02-25,650.0,645.0,647.75,647.75,8,234.0,151710.0
CCS,N,0.0,COLD STORES,2021-03-01,648.75,639.0,641.75,641.75,16,1231.0,795997.75
CCS,N,0.0,COLD STORES,2021-03-02,645.0,640.0,642.0,642.0,19,2329.0,1491308.0
CCS,N,0.0,COLD STORES,2021-03-03,641.0,640.0,642.0,642.0,4,28.0,17924.5
CCS,N,0.0,COLD STORES,2021-03-04,649.75,635.0,635.25,635.25,19,508.0,323650.75
CCS,N,0.0,COLD STORES,2021-03-05,649.25,609.5,610.0,610.0,160,185976.0,113460713.0
CCS,N,0.0,COLD STORES,2021-03-08,637.75,615.0,610.0,610.0,7,53.0,33608.0
CCS,N,0.0,COLD STORES,2021-03-09,631.0,617.0,626.0,626.0,20,2148.0,1344904.0
CCS,N,0.0,COLD STORES,2021-03-10,626.0,619.0,619.25,619.25,16,590.0,365477.25
CCS,N,0.0,COLD STORES,2021-03-12,637.75,620.0,620.0,620.0,16,650.0,403991.75
CCS,N,0.0,COLD STORES,2021-03-15,710.0,621.0,641.5,641.5,30,5680.0,3752817.5
CCS,N,0.0,COLD STORES,2021-03-16,621.0,621.0,641.5,641.5,3,4.0,2484.0
CCS,N,0.0,COLD STORES,2021-03-17,621.0,616.0,617.75,617.75,22,1212.0,751037.75
