COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
COMB,N,0.0,COMMERCIAL BANK,2021-01-04,83.6,81.0,83.3,83.3,481,1236817.0,102745513.1
COMB,N,0.0,COMMERCIAL BANK,2021-01-05,83.9,83.0,83.2,83.2,358,644803.0,53819650.1
COMB,N,0.0,COMMERCIAL BANK,2021-01-06,83.2,82.0,83.0,83.0,319,1025583.0,84984643.7
COMB,N,0.0,COMMERCIAL BANK,2021-01-07,83.0,81.9,82.7,82.7,285,817620.0,67692195.4
COMB,N,0.0,COMMERCIAL BANK,2021-01-08,82.8,81.9,82.4,82.4,258,893866.0,73343877.0
COMB,N,0.0,COMMERCIAL BANK,2021-01-11,82.6,82.0,82.3,82.3,275,1102559.0,90474707.9
COMB,N,0.0,COMMERCIAL BANK,2021-01-12,82.6,81.0,82.0,82.0,303,870029.0,71296019.3
COMB,N,0.0,COMMERCIAL BANK,2021-01-13,82.5,81.5,82.0,82.0,314,548770.0,44983909.7
COMB,N,0.0,COMMERCIAL BANK,2021-01-15,85.1,81.7,84.3,84.3,633,3183752.0,265412943.9
COMB,N,0.0,COMMERCIAL BANK,2021-01-18,90.0,85.0,88.7,88.7,1229,2449235.0,216888589.7
COMB,N,0.0,COMMERCIAL BANK,2021-01-19,97.0,89.0,96.2,96.2,2054,6760848.0,624052894.3
COMB,N,0.0,COMMERCIAL BANK,2021-01-20,99.9,92.0,96.7,96.7,1414,1946620.0,188858811.3
COMB,N,0.0,COMMERCIAL BANK,2021-01-21,96.0,92.5,93.7,93.7,879,1220516.0,114301665.6
COMB,N,0.0,COMMERCIAL BANK,2021-01-22,99.7,94.5,99.2,99.2,987,5118896.0,495331232.6
COMB,N,0.0,COMMERCIAL BANK,2021-01-25,103.0,99.5,100.75,100.75,971,3086446.0,312419534.7
COMB,N,0.0,COMMERCIAL BANK,2021-01-26,103.5,100.0,100.5,100.5,774,3747035.0,377685275.25
COMB,N,0.0,COMMERCIAL BANK,2021-01-27,101.5,99.0,99.8,99.8,608,1281218.0,127939106.65
COMB,N,0.0,COMMERCIAL BANK,2021-01-29,105.0,99.0,99.7,99.7,907,3056879.0,308797116.55
COMB,N,0.0,COMMERCIAL BANK,2021-02-01,100.0,95.9,96.3,96.3,698,1050666.0,102153074.0
COMB,N,0.0,COMMERCIAL BANK,2021-02-02,95.9,86.0,89.9,89.9,742,1308272.0,119233608.1
COMB,N,0.0,COMMERCIAL BANK,2021-02-03,94.0,89.0,93.0,93.0,533,605039.0,55689915.7
COMB,N,0.0,COMMERCIAL BANK,2021-02-05,95.0,92.0,92.7,92.7,312,253520.0,23518416.3
COMB,N,0.0,COMMERCIAL BANK,2021-02-08,94.8,89.5,90.0,90.0,406,903390.0,83221017.7
COMB,N,0.0,COMMERCIAL BANK,2021-02-09,90.0,85.9,87.8,87.8,478,363744.0,31770962.8
COMB,N,0.0,COMMERCIAL BANK,2021-02-10,88.3,86.5,87.5,87.5,350,521895.0,45647848.7
COMB,N,0.0,COMMERCIAL BANK,2021-02-11,87.0,80.0,85.8,85.8,546,605707.0,51051736.4
COMB,N,0.0,COMMERCIAL BANK,2021-02-12,89.0,86.4,88.1,88.1,394,485583.0,42651986.0
COMB,N,0.0,COMMERCIAL BANK,2021-02-15,91.0,88.0,90.3,90.3,397,1277173.0,115057487.0
COMB,N,0.0,COMMERCIAL BANK,2021-02-16,91.0,86.9,87.7,87.7,271,691231.0,61885665.4
