COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
JKH,N,0.0,JKH,2021-01-04,151.0,149.5,149.6,149.6,181,1208543.0,181179679.1
JKH,N,0.0,JKH,2021-01-05,151.0,149.8,150.0,150.0,198,1343124.0,201475770.4
JKH,N,0.0,JKH,2021-01-06,150.1,149.8,149.8,149.8,158,452832.0,67890828.7
JKH,N,0.0,JKH,2021-01-07,149.8,148.1,148.5,148.5,156,1800245.0,267363881.6
JKH,N,0.0,JKH,2021-01-08,150.0,148.25,149.0,149.0,149,558315.0,83081797.5
JKH,N,0.0,JKH,2021-01-11,155.0,149.0,154.75,154.75,222,334081.0,51162970.75
JKH,N,0.0,JKH,2021-01-12,155.0,150.0,150.5,150.5,185,843960.0,128471408.25
JKH,N,0.0,JKH,2021-01-13,154.5,150.25,153.5,153.5,177,317749.0,48779272.75
JKH,N,0.0,JKH,2021-01-15,162.0,153.75,160.0,160.0,550,2705678.0,427823081.25
JKH,N,0.0,JKH,2021-01-18,165.5,161.0,161.25,161.25,375,1100095.0,178465442.0
JKH,N,0.0,JKH,2021-01-19,163.75,157.5,160.25,160.25,466,3762367.0,605858208.25
JKH,N,0.0,JKH,2021-01-20,160.0,154.5,157.0,157.0,593,7931032.0,1239398102.25
JKH,N,0.0,JKH,2021-01-21,162.0,157.0,162.0,162.0,377,4049530.0,654853353.0
JKH,N,0.0,JKH,2021-01-22,177.0,165.0,168.25,168.25,896,4296122.0,729873237.5
JKH,N,0.0,JKH,2021-01-25,187.0,171.0,181.25,181.25,1372,6873287.0,1231572600.0
JKH,N,0.0,JKH,2021-01-26,182.0,170.0,172.75,172.75,1124,2829674.0,490672295.75
JKH,N,0.0,JKH,2021-01-27,175.0,169.75,171.25,171.25,639,7414773.0,1263301911.25
JKH,N,0.0,JKH,2021-01-29,175.0,165.5,167.0,167.0,823,1686608.0,284601509.25
JKH,N,0.0,JKH,2021-02-01,171.75,164.0,168.5,168.5,464,1097796.0,185304871.25
JKH,N,0.0,JKH,2021-02-02,168.5,154.0,155.75,155.75,740,2452685.0,391729326.25
JKH,N,0.0,JKH,2021-02-03,166.75,156.0,159.0,159.0,477,1580838.0,251796453.25
JKH,N,0.0,JKH,2021-02-05,161.0,155.0,155.25,155.25,524,2126410.0,330507479.5
JKH,N,0.0,JKH,2021-02-08,160.0,154.0,154.75,154.75,355,737111.0,114417540.25
JKH,N,0.0,JKH,2021-02-09,158.75,152.0,154.0,154.0,363,2095193.0,322579474.25
JKH,N,0.0,JKH,2021-02-10,157.0,153.25,154.75,154.75,229,2275220.0,352319289.75
JKH,N,0.0,JKH,2021-02-11,155.0,148.0,152.0,152.0,511,2343691.0,352411489.25
JKH,N,0.0,JKH,2021-02-12,155.0,153.0,154.25,154.25,339,715949.0,110369153.5
JKH,N,0.0,JKH,2021-02-15,163.0,153.25,160.0,160.0,688,4788276.0,764406869.25
JKH,N,0.0,JKH,2021-02-16,160.0,155.0,156.75,156.75,243,1781839.0,279630898.75
JKH,N,0.0,JKH,2021-02-17,159.0,153.25,156.25,156.25,167,105568.0,16254820.5
JKH,N,0.0,JKH,2021-02-18,160.5,158.0,160.0,160.0,242,1382839.0,220890572.5
JKH,N,0.0,JKH,2021-02-19,160.5,158.0,160.0,160.0,169,1025793.0,164151811.75
JKH,N,0.0,JKH,2021-02-22,159.0,155.0,156.0,156.0,112,93449.0,14641168.5
JKH,N,0.0,JKH,2021-02-23,155.5,150.5,151.25,151.25,270,446928.0,67923522.75
JKH,N,0.0,JKH,2021-02-24,154.0,151.0,152.0,152.0,143,588512.0,89343048.75
JKH,N,0.0,JKH,2021-02-25,155.5,152.0,152.25,152.25,219,1344685.0,205383356.0
JKH,N,0.0,JKH,2021-03-01,155.0,152.25,153.5,153.5,155,4252282.0,652600785.5
JKH,N,0.0,JKH,2021-03-02,158.75,153.5,154.0,154.0,245,166945.0,25933519.5
JKH,N,0.0,JKH,2021-03-03,156.0,150.75,151.75,151.75,226,227653.0,34626945.5
JKH,N,0.0,JKH,2021-03-04,152.0,147.75,148.25,148.25,365,1662484.0,249588567.25
JKH,N,0.0,JKH,2021-03-05,150.5,146.25,148.75,148.75,315,975664.0,145092276.0
JKH,N,0.0,JKH,2021-03-08,152.0,149.25,150.0,150.0,314,1263990.0,189595791.5
JKH,N,0.0,JKH,2021-03-09,152.0,149.5,150.0,150.0,189,860101.0,129054336.0
JKH,N,0.0,JKH,2021-03-10,150.0,148.0,148.5,148.5,110,52173.0,7740020.25
JKH,N,0.0,JKH,2021-03-12,151.5,149.0,149.75,149.75,135,1091747.0,163715330.0
JKH,N,0.0,JKH,2021-03-15,150.0,147.5,148.0,148.0,192,421322.0,62365915.0
JKH,N,0.0,JKH,2021-03-16,150.0,147.5,148.5,148.5,265,283698.0,42099998.75
