COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
LLUB,N,0.0,CHEVRON,2021-01-04,109.5,108.0,108.1,108.1,327,214750.0,23267562.0
LLUB,N,0.0,CHEVRON,2021-01-05,110.9,108.3,109.6,109.6,258,174352.0,19121322.4
LLUB,N,0.0,CHEVRON,2021-01-06,112.4,109.5,111.4,111.4,397,617161.0,68048554.4
LLUB,N,0.0,CHEVRON,2021-01-07,112.4,111.0,111.7,111.7,248,362613.0,40554697.8
LLUB,N,0.0,CHEVRON,2021-01-08,113.5,111.0,112.75,112.75,259,239915.0,26926355.75
LLUB,N,0.0,CHEVRON,2021-01-11,113.25,111.25,111.75,111.75,231,189221.0,21190690.0
LLUB,N,0.0,CHEVRON,2021-01-12,112.5,112.0,112.25,112.25,176,107383.0,12034801.25
LLUB,N,0.0,CHEVRON,2021-01-13,113.0,111.0,111.5,111.5,280,213851.0,23926154.75
LLUB,N,0.0,CHEVRON,2021-01-15,113.25,111.0,112.75,112.75,266,215360.0,24170568.5
LLUB,N,0.0,CHEVRON,2021-01-18,113.5,111.25,111.75,111.75,364,182551.0,20467511.25
LLUB,N,0.0,CHEVRON,2021-01-19,112.5,110.0,110.25,110.25,317,188107.0,20888167.75
LLUB,N,0.0,CHEVRON,2021-01-20,111.0,110.0,110.25,110.25,302,131497.0,14523704.5
LLUB,N,0.0,CHEVRON,2021-01-21,112.0,109.25,110.75,110.75,321,184093.0,20393945.0
LLUB,N,0.0,CHEVRON,2021-01-22,113.5,110.0,111.0,111.0,322,345532.0,38554690.25
LLUB,N,0.0,CHEVRON,2021-01-25,114.0,112.0,113.5,113.5,285,203456.0,23052728.25
LLUB,N,0.0,CHEVRON,2021-01-26,114.0,112.75,113.25,113.25,176,150796.0,17082968.0
LLUB,N,0.0,CHEVRON,2021-01-27,113.75,112.0,112.25,112.25,206,88587.0,10001029.0
LLUB,N,0.0,CHEVRON,2021-01-29,113.0,109.75,110.25,110.25,276,173194.0,19187197.5
LLUB,N,0.0,CHEVRON,2021-02-01,110.75,109.0,109.0,109.0,232,108104.0,11852708.75
LLUB,N,0.0,CHEVRON,2021-02-02,109.0,100.0,101.25,101.25,494,307398.0,31995394.0
LLUB,N,0.0,CHEVRON,2021-02-03,109.5,101.75,107.25,107.25,341,168895.0,17759158.25
LLUB,N,0.0,CHEVRON,2021-02-05,113.0,109.5,111.25,111.25,216,209152.0,23301008.5
LLUB,N,0.0,CHEVRON,2021-02-08,112.0,107.25,108.0,108.0,161,36863.0,4019785.0
LLUB,N,0.0,CHEVRON,2021-02-09,108.5,106.25,107.0,107.0,209,71439.0,7636284.25
LLUB,N,0.0,CHEVRON,2021-02-10,108.25,103.25,105.0,105.0,239,175540.0,18616271.25
LLUB,N,0.0,CHEVRON,2021-02-11,105.0,95.1,103.25,103.25,406,196459.0,19682921.2
LLUB,N,0.0,CHEVRON,2021-02-12,109.0,105.0,107.5,107.5,209,158569.0,17013872.5
LLUB,N,0.0,CHEVRON,2021-02-15,106.25,101.75,102.75,102.75,335,132408.0,13776767.0
LLUB,N,0.0,CHEVRON,2021-02-16,104.0,102.0,102.5,102.5,163,68198.0,6998844.5
LLUB,N,0.0,CHEVRON,2021-02-17,105.0,100.0,102.25,102.25,173,62750.0,6358263.0
LLUB,N,0.0,CHEVRON,2021-02-18,104.0,102.5,103.25,103.25,77,45919.0,4739402.0
LLUB,N,0.0,CHEVRON,2021-02-19,104.0,102.5,104.0,104.0,80,47461.0,4895460.5
LLUB,N,0.0,CHEVRON,2021-02-22,105.0,103.0,103.0,103.0,65,17587.0,1815948.75
LLUB,N,0.0,CHEVRON,2021-02-23,102.5,95.0,98.2,98.2,343,241640.0,24204314.05
LLUB,N,0.0,CHEVRON,2021-02-24,102.75,98.0,99.9,99.9,188,45551.0,4542179.05
LLUB,N,0.0,CHEVRON,2021-02-25,102.5,99.9,101.5,101.5,154,63876.0,6463786.5
LLUB,N,0.0,CHEVRON,2021-03-01,102.25,99.5,99.8,99.8,329,135351.0,13534346.35
LLUB,N,0.0,CHEVRON,2021-03-02,100.0,98.8,99.1,99.1,183,46540.0,4620684.9
LLUB,N,0.0,CHEVRON,2021-03-03,99.9,96.8,97.0,97.0,314,101714.0,9906410.4
LLUB,N,0.0,CHEVRON,2021-03-04,99.0,94.1,94.8,94.8,283,123479.0,11777789.0
LLUB,N,0.0,CHEVRON,2021-03-05,96.5,93.0,95.3,95.3,242,73868.0,6971749.4
LLUB,N,0.0,CHEVRON,2021-03-08,99.0,96.5,98.0,98.0,242,202623.0,19825765.1
LLUB,N,0.0,CHEVRON,2021-03-09,97.0,94.0,94.8,94.8,453,233459.0,22196177.7
LLUB,N,0.0,CHEVRON,2021-03-10,95.0,93.0,93.3,93.3,139,17045.0,1596254.9
LLUB,N,0.0,CHEVRON,2021-03-12,95.1,92.8,93.0,93.0,183,42900.0,4006606.8
LLUB,N,0.0,CHEVRON,2021-03-15,94.2,92.9,92.9,92.9,85,87250.0,8117861.0
LLUB,N,0.0,CHEVRON,2021-03-16,94.0,91.5,92.3,92.3,143,32693.0,3013485.8
LLUB,N,0.0,CHEVRON,2021-03-17,93.0,91.5,91.6,91.6,94,12943.0,1188833.7
LLUB,N,0.0,CHEVRON,2021-03-18,91.5,89.0,89.1,89.1,342,184176.0,16462981.0
LLUB,N,0.0,CHEVRON,2021-03-19,90.0,86.6,86.9,86.9,374,2104052.0,185129653.4
LLUB,N,0.0,CHEVRON,2021-03-22,90.5,89.0,89.8,89.8,128,43455.0,3902470.3
LLUB,N,0.0,CHEVRON,2021-03-23,90.6,88.3,89.9,89.9,139,28196.0,2514575.3
LLUB,N,0.0,CHEVRON,2021-03-24,91.0,88.9,90.0,90.0,220,168453.0,15152960.1
LLUB,N,0.0,CHEVRON,2021-03-25,91.8,89.0,89.4,89.4,158,51978.0,4687674.8
